"","gdc_file_id","total","alt","sample_id","study","tumor_normal"
"252","383b2b19-3610-4649-b97b-ac9d80bbbb43","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/43/383b2b19-3610-4649-b97b-ac9d80bbbb43/tcga1_in10859_att1/383b2b19-3610-4649-b97b-ac9d80bbbb43!tcga!hg38!gdc.all.bw","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/43/383b2b19-3610-4649-b97b-ac9d80bbbb43/tcga1_in10859_att1/383b2b19-3610-4649-b97b-ac9d80bbbb43!tcga!hg38!gdc.bamcount_nonref.csv.zst","TCGA-AX-A2H8-11A-11R-A17B-07","UCEC","normal"
"253","350dce85-c8a8-458e-bc76-48df58876d5d","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/5d/350dce85-c8a8-458e-bc76-48df58876d5d/tcga1_in8824_att1/350dce85-c8a8-458e-bc76-48df58876d5d!tcga!hg38!gdc.all.bw","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/5d/350dce85-c8a8-458e-bc76-48df58876d5d/tcga1_in8824_att1/350dce85-c8a8-458e-bc76-48df58876d5d!tcga!hg38!gdc.bamcount_nonref.csv.zst","TCGA-EM-A1CS-11A-21R-A13Y-07","THCA","normal"
"254","446ec9ff-4f10-40bc-8383-736fd7bcf55d","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/5d/446ec9ff-4f10-40bc-8383-736fd7bcf55d/tcga1_in11355_att1/446ec9ff-4f10-40bc-8383-736fd7bcf55d!tcga!hg38!gdc.all.bw","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/5d/446ec9ff-4f10-40bc-8383-736fd7bcf55d/tcga1_in11355_att1/446ec9ff-4f10-40bc-8383-736fd7bcf55d!tcga!hg38!gdc.bamcount_nonref.csv.zst","TCGA-X7-A8D7-11A-11R-A42C-07","THYM","normal"
"255","b695a1d1-083f-43bd-8389-a1106635eaed","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/ed/b695a1d1-083f-43bd-8389-a1106635eaed/tcga1_in1452_att0/b695a1d1-083f-43bd-8389-a1106635eaed!tcga!hg38!gdc.all.bw","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/ed/b695a1d1-083f-43bd-8389-a1106635eaed/tcga1_in1452_att0/b695a1d1-083f-43bd-8389-a1106635eaed!tcga!hg38!gdc.bamcount_nonref.csv.zst","TCGA-E2-A158-11A-22R-A12D-07","BRCA","normal"
"256","56b290df-f522-48e5-85fa-2f5a140d44ed","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/ed/56b290df-f522-48e5-85fa-2f5a140d44ed/tcga1_in10811_att1/56b290df-f522-48e5-85fa-2f5a140d44ed!tcga!hg38!gdc.all.bw","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/ed/56b290df-f522-48e5-85fa-2f5a140d44ed/tcga1_in10811_att1/56b290df-f522-48e5-85fa-2f5a140d44ed!tcga!hg38!gdc.bamcount_nonref.csv.zst","TCGA-BJ-A3PU-11A-11R-A220-07","THCA","normal"
"257","20eff36c-2196-4b47-a06b-fd309817aa12","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/12/20eff36c-2196-4b47-a06b-fd309817aa12/tcga1_in1655_att0/20eff36c-2196-4b47-a06b-fd309817aa12!tcga!hg38!gdc.all.bw","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/12/20eff36c-2196-4b47-a06b-fd309817aa12/tcga1_in1655_att0/20eff36c-2196-4b47-a06b-fd309817aa12!tcga!hg38!gdc.bamcount_nonref.csv.zst","TCGA-KN-8433-11A-01R-2315-07","KICH","normal"
"258","24e1768d-2232-41da-9383-bc55d6eb3812","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/12/24e1768d-2232-41da-9383-bc55d6eb3812/tcga1_in1679_att0/24e1768d-2232-41da-9383-bc55d6eb3812!tcga!hg38!gdc.all.bw","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/12/24e1768d-2232-41da-9383-bc55d6eb3812/tcga1_in1679_att0/24e1768d-2232-41da-9383-bc55d6eb3812!tcga!hg38!gdc.bamcount_nonref.csv.zst","TCGA-L5-A4OR-11A-11R-A260-31","ESCA","normal"
"259","55f8e6ba-af16-4514-8845-1fcacb758812","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/12/55f8e6ba-af16-4514-8845-1fcacb758812/tcga1_in5232_att1/55f8e6ba-af16-4514-8845-1fcacb758812!tcga!hg38!gdc.all.bw","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/12/55f8e6ba-af16-4514-8845-1fcacb758812/tcga1_in5232_att1/55f8e6ba-af16-4514-8845-1fcacb758812!tcga!hg38!gdc.bamcount_nonref.csv.zst","TCGA-AA-3660-11A-01R-1723-07","COAD","normal"
"260","40e0dd25-915a-421b-b4f7-5e63f45c2412","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/12/40e0dd25-915a-421b-b4f7-5e63f45c2412/tcga1_in6325_att1/40e0dd25-915a-421b-b4f7-5e63f45c2412!tcga!hg38!gdc.all.bw","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/12/40e0dd25-915a-421b-b4f7-5e63f45c2412/tcga1_in6325_att1/40e0dd25-915a-421b-b4f7-5e63f45c2412!tcga!hg38!gdc.bamcount_nonref.csv.zst","TCGA-P4-A5ED-11A-11R-A28H-07","KIRP","normal"
"261","1122039d-5785-4f70-9916-17c585453512","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/12/1122039d-5785-4f70-9916-17c585453512/tcga1_in9703_att1/1122039d-5785-4f70-9916-17c585453512!tcga!hg38!gdc.all.bw","/dcs04/hansen/data/recount3/tcga_monorail_output/recount_pump_output/ga/tcga/12/1122039d-5785-4f70-9916-17c585453512/tcga1_in9703_att1/1122039d-5785-4f70-9916-17c585453512!tcga!hg38!gdc.bamcount_nonref.csv.zst","TCGA-CV-7406-11A-01R-2081-07","HNSC","normal"
