sample_id,total,alt,study,sample_id_rep,individual_id
ERR188145,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/45/ERR188145/sra_human_v3_21_in1875_att0/ERR188145!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/45/ERR188145/sra_human_v3_21_in1875_att0/ERR188145!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188145,NA20519
ERR188345,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/45/ERR188345/sra_human_v3_21_in2075_att0/ERR188345!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/45/ERR188345/sra_human_v3_21_in2075_att0/ERR188345!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188345,NA20771
ERR188245,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/45/ERR188245/sra_human_v3_21_in1975_att0/ERR188245!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/45/ERR188245/sra_human_v3_21_in1975_att0/ERR188245!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188245,HG00128
ERR188445,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/45/ERR188445/sra_human_v3_21_in2175_att0/ERR188445!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/45/ERR188445/sra_human_v3_21_in2175_att0/ERR188445!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188445,HG00173
ERR188038,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/38/ERR188038/sra_human_v3_21_in1768_att0/ERR188038!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/38/ERR188038/sra_human_v3_21_in1768_att0/ERR188038!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188038,HG00345
ERR188138,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/38/ERR188138/sra_human_v3_21_in1868_att0/ERR188138!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/38/ERR188138/sra_human_v3_21_in1868_att0/ERR188138!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188138,NA20539
ERR188338,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/38/ERR188338/sra_human_v3_21_in2068_att0/ERR188338!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/38/ERR188338/sra_human_v3_21_in2068_att0/ERR188338!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188338,HG00134
ERR188238,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/38/ERR188238/sra_human_v3_21_in1968_att0/ERR188238!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/38/ERR188238/sra_human_v3_21_in1968_att0/ERR188238!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188238,HG00269
ERR188438,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/38/ERR188438/sra_human_v3_21_in2168_att0/ERR188438!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/38/ERR188438/sra_human_v3_21_in2168_att0/ERR188438!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188438,NA12272
ERR188280,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/80/ERR188280/sra_human_v3_21_in2010_att0/ERR188280!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/80/ERR188280/sra_human_v3_21_in2010_att0/ERR188280!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188280,HG00381
ERR188380,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/80/ERR188380/sra_human_v3_21_in2110_att0/ERR188380!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/80/ERR188380/sra_human_v3_21_in2110_att0/ERR188380!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188380,NA20502
ERR188180,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/80/ERR188180/sra_human_v3_21_in1910_att0/ERR188180!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/80/ERR188180/sra_human_v3_21_in1910_att0/ERR188180!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188180,HG00177
ERR188080,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/80/ERR188080/sra_human_v3_21_in1810_att0/ERR188080!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/80/ERR188080/sra_human_v3_21_in1810_att0/ERR188080!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188080,HG00250
ERR188480,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/80/ERR188480/sra_human_v3_21_in2210_att4/ERR188480!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/80/ERR188480/sra_human_v3_21_in2210_att4/ERR188480!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188480,HG00362
ERR188419,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/19/ERR188419/sra_human_v3_21_in2149_att4/ERR188419!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/19/ERR188419/sra_human_v3_21_in2149_att4/ERR188419!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188419,NA20800
ERR188319,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/19/ERR188319/sra_human_v3_21_in2049_att0/ERR188319!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/19/ERR188319/sra_human_v3_21_in2049_att0/ERR188319!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188319,NA12249
ERR188219,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/19/ERR188219/sra_human_v3_21_in1949_att1/ERR188219!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/19/ERR188219/sra_human_v3_21_in1949_att1/ERR188219!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188219,HG00117
ERR188119,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/19/ERR188119/sra_human_v3_21_in1849_att0/ERR188119!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/19/ERR188119/sra_human_v3_21_in1849_att0/ERR188119!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188119,HG00119
ERR188464,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/64/ERR188464/sra_human_v3_21_in2194_att4/ERR188464!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/64/ERR188464/sra_human_v3_21_in2194_att4/ERR188464!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188464,HG00252
ERR188164,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/64/ERR188164/sra_human_v3_21_in1894_att0/ERR188164!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/64/ERR188164/sra_human_v3_21_in1894_att0/ERR188164!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188164,HG00159
ERR188064,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/64/ERR188064/sra_human_v3_21_in1794_att0/ERR188064!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/64/ERR188064/sra_human_v3_21_in1794_att0/ERR188064!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188064,NA19144
ERR188264,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/64/ERR188264/sra_human_v3_21_in1994_att1/ERR188264!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/64/ERR188264/sra_human_v3_21_in1994_att1/ERR188264!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188264,HG00274
ERR188364,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/64/ERR188364/sra_human_v3_21_in2094_att0/ERR188364!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/64/ERR188364/sra_human_v3_21_in2094_att0/ERR188364!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188364,NA19248
ERR188413,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/13/ERR188413/sra_human_v3_21_in2143_att0/ERR188413!ERP001942!hg38!sra.all.bw,/dcl02/lieber/ajaffe/recount-pump/human_tranche_backups/sra_human_v3_2/42/ERP001942/13/ERR188413/sra_human_v3_21_in2143_att0/ERR188413!ERP001942!hg38!sra.bamcount_nonref.csv.zst,ERP001942,ERR188413,NA12890
